t_sec,seq,imu_hz,quat_w,quat_x,quat_y,quat_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,proj_g_x,proj_g_y,proj_g_z
0.107891826,1,0.000000000,0.999882996,-0.014162000,-0.005578000,-0.001484000,-0.000561507,-0.001914539,-0.001697210,0.118538000,-0.279312998,9.798758507,-0.011196728,0.028304131,-0.999536647
0.112930984,2,0.000000000,0.999882996,-0.014165000,-0.005585000,-0.001484000,-0.000734976,-0.002117329,0.001280094,0.116659001,-0.287119001,9.803890228,-0.011210735,0.028310109,-0.999536321
0.118001983,3,0.000000000,0.999882996,-0.014164000,-0.005590000,-0.001482000,0.001849299,-0.003129044,-0.000023771,0.120099001,-0.282092005,9.807097435,-0.011220674,0.028308116,-0.999536266
0.122523852,4,0.000000000,0.999882996,-0.014159000,-0.005595000,-0.001485000,0.000874881,-0.000881740,-0.001339854,0.118941002,-0.284675986,9.800013542,-0.011230743,0.028298069,-0.999536437
0.127618819,5,0.000000000,0.999882996,-0.014153000,-0.005601000,-0.001489000,0.003116861,-0.002645657,-0.000255656,0.116076998,-0.285484999,9.797636032,-0.011242837,0.028286008,-0.999536643
0.133105601,6,0.000000000,0.999882996,-0.014142000,-0.005601000,-0.001484000,0.004682928,0.002461071,0.003312705,0.113334998,-0.278706998,9.803260803,-0.011242663,0.028264067,-0.999537265
0.137804625,7,0.000000000,0.999882996,-0.014136000,-0.005595000,-0.001480000,-0.000445233,0.002210843,0.000989532,0.112134002,-0.282777995,9.804172516,-0.011230533,0.028252130,-0.999537739
0.142655588,8,0.000000000,0.999882996,-0.014134000,-0.005595000,-0.001475000,0.003294449,-0.002030202,0.003197687,0.115971997,-0.286116987,9.804254532,-0.011230386,0.028248187,-0.999537852
0.147900381,9,0.000000000,0.999882996,-0.014122000,-0.005602000,-0.001473000,0.004735777,-0.004282427,-0.000328942,0.115973003,-0.287317991,9.797949791,-0.011244292,0.028224192,-0.999538373
0.152530444,10,0.000000000,0.999882996,-0.014110000,-0.005610000,-0.001472000,0.002965698,-0.001216844,0.000067195,0.113609001,-0.286080003,9.807154655,-0.011260227,0.028200182,-0.999538872
0.157597571,11,0.000000000,0.999882996,-0.014109000,-0.005612000,-0.001472000,-0.001494700,0.001116156,0.000026546,0.116723999,-0.289386004,9.807049751,-0.011264223,0.028198176,-0.999538883
0.162848860,12,0.000000000,0.999882996,-0.014117000,-0.005610000,-0.001474000,-0.005371827,0.000237574,-0.001836139,0.113505997,-0.283917010,9.801054955,-0.011260304,0.028214158,-0.999538476
0.173622452,14,0.000000000,0.999882996,-0.014143000,-0.005609000,-0.001483000,0.001002569,-0.000009425,-0.001046133,0.116580002,-0.278912008,9.793934822,-0.011258636,0.028266055,-0.999537029
0.177607288,15,0.000000000,0.999882996,-0.014133000,-0.005606000,-0.001485000,0.004572623,0.003780435,0.000433732,0.109768003,-0.281729996,9.801420212,-0.011252663,0.028246043,-0.999537662
0.184670833,16,0.000000000,0.999882996,-0.014124000,-0.005590000,-0.001482000,0.002979155,0.008342639,0.001497754,0.111639000,-0.277238011,9.811167717,-0.011220556,0.028228125,-0.999538529
0.187550658,17,0.000000000,0.999882996,-0.014111000,-0.005576000,-0.001479000,0.002788792,0.002157454,0.000237592,0.119360000,-0.279368013,9.807982445,-0.011192436,0.028202204,-0.999539576
0.192648153,18,0.000000000,0.999882996,-0.014107000,-0.005577000,-0.001478000,0.001705553,-0.000884864,-0.000580200,0.118597001,-0.283136994,9.802345276,-0.011194395,0.028194213,-0.999539779
0.201220459,19,0.000000000,0.999882996,-0.014101000,-0.005582000,-0.001479000,0.000663382,-0.003228266,0.001344567,0.115907997,-0.279112011,9.798271179,-0.011204405,0.028182188,-0.999540006
0.202755014,20,0.000000000,0.999882996,-0.014105000,-0.005592000,-0.001476000,-0.003833912,-0.003185697,0.001317444,0.106445000,-0.280458987,9.801496506,-0.011224330,0.028190191,-0.999539557
0.207861469,21,0.000000000,0.999882996,-0.014113000,-0.005593000,-0.001472000,-0.003918631,0.002749696,0.002702782,0.110078000,-0.286780000,9.803689957,-0.011226240,0.028206231,-0.999539083
0.212936979,22,0.000000000,0.999882996,-0.014119000,-0.005593000,-0.001467000,-0.000836432,-0.000393519,0.001888970,0.111501001,-0.285535008,9.803343773,-0.011226116,0.028218287,-0.999538744
0.218034922,23,0.000000000,0.999882996,-0.014117000,-0.005589000,-0.001465000,0.002563749,0.002728665,-0.000077999,0.105916001,-0.277085006,9.801964760,-0.011218055,0.028214320,-0.999538947
0.222548823,24,0.000000000,0.999882996,-0.014104000,-0.005585000,-0.001465000,0.006738524,0.000802206,0.000988240,0.105270997,-0.282572985,9.794708252,-0.011210018,0.028188336,-0.999539770
0.227615822,25,0.000000000,0.999884009,-0.014086000,-0.005581000,-0.001466000,0.006122126,0.002435066,-0.001615320,0.102801003,-0.280117989,9.799218178,-0.011202005,0.028152368,-0.999540874
0.232707845,26,0.000000000,0.999884009,-0.014074000,-0.005577000,-0.001464000,0.001635600,0.001033811,0.002121308,0.115999997,-0.278714985,9.800555229,-0.011193915,0.028128405,-0.999541639
0.237829276,27,0.000000000,0.999884009,-0.014067000,-0.005577000,-0.001462000,0.005165040,-0.001514387,-0.000724626,0.119028002,-0.281563014,9.803912163,-0.011193838,0.028114429,-0.999542033
0.242986644,28,0.000000000,0.999884009,-0.014057000,-0.005586000,-0.001464000,0.000486196,-0.003937812,0.000092398,0.113824002,-0.284749001,9.803503990,-0.011211863,0.028094384,-0.999542395
0.247523714,29,0.000000000,0.999884009,-0.014059000,-0.005596000,-0.001462000,-0.000418286,-0.002844328,0.002188695,0.112801999,-0.281946987,9.801001549,-0.011231810,0.028098375,-0.999542059
0.252612793,30,0.000000000,0.999884009,-0.014062000,-0.005596000,-0.001458000,-0.002858762,-0.000066148,0.000212127,0.114886001,-0.282339990,9.799972534,-0.011231706,0.028104419,-0.999541890
0.257645455,31,0.000000000,0.999884009,-0.014064000,-0.005598000,-0.001458000,-0.000011868,-0.000833971,-0.001010144,0.121848002,-0.287178010,9.796851158,-0.011235712,0.028108414,-0.999541733
0.262737766,32,0.000000000,0.999884009,-0.014062000,-0.005603000,-0.001462000,0.000050580,-0.001293865,-0.000776183,0.110946998,-0.280339986,9.795439720,-0.011245818,0.028104354,-0.999541733
